Title,Post date,Issues,Institution(s),Other Organization(s),Story Date,URL,Body,All terms
U North Carolina Charlotte Receives BBI Green Globes,Feb 3 2014 - 7:08pm,"February 4, 2014","University of North Carolina, Charlotte",,"January 22, 2014",http://inside.uncc.edu/news/item/belk-hall-earns-rating-two-green-globes,"The university's Belk Hall recently achieved the two-globe rating from the Green Building Initiative's Green Globes for New Construction program, a program used to certify a building's environmental performance. The building's features include a reflective roof, energy efficient windows, occupancy sensors, and regionally-appropriate landscaping to reduce water use.",Buildings
Four Virginia Colleges Announce 100% Renewable Electricity,Jan 29 2014 - 2:51pm,"February 4, 2014",Emory & Henry College Hollins University Lynchburg College Randolph College Sweet Briar College,,"January 23, 2014",http://hollins.edu/news2/?p=2259,"Coordinated by the Council of Independent Colleges in Virginia, Hollins University, Emory & Henry College, Lynchburg College, Randolph College and Sweet Briar College have entered into agreements to provide the schools with electricity produced from landfill gas.",Energy
North Carolina State U Pilots Plastic Bag Recycling,Jan 29 2014 - 5:57pm,"February 4, 2014",North Carolina State University,,"January 23, 2014",http://sustainability.ncsu.edu/sustain-office/students-pilot-plastic-bag-recycling-on-campus,"NC State Stewards, a student group of sustainability ambassadors, are managing a pilot program to collect and properly recycle single-use plastic bags.",Co-Curricular Education & Student Organizing
California State U Sacramento to Replace Over 500 Toilets,Feb 3 2014 - 10:14am,"February 4, 2014","California State University, Sacramento",,"January 23, 2014",http://www.sacbee.com/2014/01/23/6097782/sacramento-state-to-replace-old.html,"Striving to meet the city's water consumption reduction mandate of 20 percent, the university will receive partial funding from the state to replace the decades-old fixtures some of which use 4 gallons per flush.",Water
Harvard U Debuts Thermal Biomass System,Feb 4 2014 - 4:12pm,"February 11, 2014",Harvard University,,"January 23, 2014",http://news.harvard.edu/gazette/story/2014/01/warmth-from-the-woods/,"Using sustainably-harvested wood from its 3,700-acre Harvard Forest, the new, high-efficiency boilers provide heat to five nearby buildings. University researchers are studying the greenhouse gas emission impacts of using the sustainably-harvested wood from their managed forest, expecting carbon emissions to go down.",Energy
U Hawai'i Regents Adopt Sustainability Policy,Feb 5 2014 - 3:48pm,"February 11, 2014",University of Hawaii System Office,,"January 23, 2014",http://www.kaleo.org/news/regents-adopt-sustainability-statement/article_7c0f7fd2-8a2b-11e3-9552-0017a43b2370.html,"In the wake of the inaugural Hawai‘i Sustainability in Higher Education conference last spring, the new policy was added to the system's mission and purpose and incorporates seven goals in the areas of social, cultural, environmental and economic sustainability in operations; education, research and service; planning, administration and engagement; and cultural and community connections.",Coordination & Planning
UC Santa Cruz Procures Local Aquaponics Produce,Feb 23 2014 - 5:10pm,"February 25, 2014","University of California, Santa Cruz",,"January 23, 2014",http://ucscsustainability.blogspot.com/2014/01/viridis-aquaponics-begins-supplying.html,"(United States): Increasing the amount of local and sustainably-grown food, the university's Dining Halls are now serving lettuce that was grown without the use of chemical fertilizers, but instead fertilized by fish waste in a practice known as aquaponics.",Dining Services
UC Santa Cruz Installs EV Charging Stations,Feb 23 2014 - 5:17pm,"February 25, 2014","University of California, Santa Cruz",,"January 23, 2014",http://ucscsustainability.blogspot.com/2014/01/launch-of-new-electric-vehicle-ev.html,"(United States): Partly funded by a third party, four electric vehicle chargers are now available to all campus members for a fee of $1 per hour.",Transportation
UC Santa Cruz Sustainability Organizations Retreat Together,Feb 23 2014 - 5:35pm,"March 11, 2014","University of California, Santa Cruz",,"January 23, 2014",http://ucscsustainability.blogspot.com/2014/01/successful-collaborative-work-at-our.html,"In an effort to strengthen ties amongst campus sustainability groups, 120 students met over two days to discuss the theme Beyond the Campus and Ourselves: Creating Impact Through Collaboration.",Co-Curricular Education & Student Organizing
UC Santa Cruz to Develop Campus-as-Lab Academic Plan,Feb 23 2014 - 5:42pm,"March 4, 2014","University of California, Santa Cruz",,"January 23, 2014",http://ucscsustainability.blogspot.com/2014/01/ucsc-campus-natural-reserve-academic.html,The provost's sustainability intern is working with the university's Campus Natural Reserve staff to develop a curriculum of field activities that will be offered to undergraduate students accessing the on-campus outdoor classrooms and living laboratories.,Curriculum
