Title,Post date,Date; time,Issues,Institution(s),Other Organization(s),URL,Body,All terms
Jackson State U Southeast Regional Student Planning Conference,2011-03-18,"March 25-26, 2011",03/21/2011,,,http://sites.jsums.edu/durp/,"Jackson State University (MS) is holding its first student-led urban and regional planning conference, ""Emerging Issues in Southern Cities."" Presentations will discuss emerging research topics including renewable energy infrastructure and community green space development. Registration is $35 for students and $70 for non-students.",Events
'Rewire' Energy Consumption Behavior Change Webinar,2011-02-4,"March 25, 2011; 12:00 - 1:00 p.m. Eastern",02/07/2011,,Tools of Change,http://www.webinars.cullbridge.com/,"This Tools of Change webinar will examine the Rewire program implemented by the Residences department of the University of Toronto (ON). Recently recognized as a best practices case study by a Tools of Change peer review panel, the program provides toolkits to student organizers with discussions of the environmental impact of energy consumption and strategies for energy conservation.",Events
U Idaho Regional Sustainability Symposium,2011-03-3,"March 30 - April 1, 2011",03/07/2011,,,http://www.uidaho.edu/sustainabilitysymposium,"Featuring keynote speaker Bill McKibbin and a plenary session with AASHE Executive Director Paul Rowland, the fourth annual University of Idaho President's Sustainability Symposium will include workshops, industry round tables, walking tours, lectures and films. Five tracks will promote conversations on a variety of issues including the sustainable built environment, campus sustainability leadership, ecological planning for community, healthy lifestyles and food systems and making change happen on campus. The event is free and open to the public.",Events
Army Environmental Policy Institute Sustainability Teleconference,2011-03-24,"March 30, 2011; 12:00 - 1:00 p.m. Eastern",03/28/2011,,U.S. Army Environmental Policy Institute,http://www.cvent.com/events/sustainability-brown-bag-lecture-series-march-30-2011/event-summary-72b46a33a2c942a39fd6d7a5ff56a3c3.aspx?i=750bfd1d-6174-4911-b128-a8dc36f60ba2,"Dr. Erika Herz, manager of sustainability programs at the University of Virginia's Darden School of Business, is the featured speaker during this installment of the U.S. Army Environmental Policy Institute's (AEPI) monthly Sustainability Lecture Series teleconferences. Dr. Herz's presentation is titled, ""Sustainability Strategies: Case Studies on Successes and Challenges."" AEPI assists the Army Secretariat in developing policies and strategies to improve or resolve environmental policy issues that may have significant short or long-term impacts on the Army.",Events
Service-Learning for Sustainability and Social Justice,2011-03-18,"March 31 - April 2, 2011",03/21/2011,,,http://www.involved.tcu.edu/sl_workshop.asp,"Texas Christian University's Center for Community Involvement and Service-Learning will host this free interdisciplinary conference, bringing together faculty, students and members of community-based organizations to explore what sustainability and social justice could mean in the context of service-learning. Panels and group discussions will look at how service-learning can be used to help students learn about social, economic and environmental aspects of sustainability and how service-learning courses and projects can help work toward sustainability and social justice in higher education and local or global communities.",Events
2011 Smart and Sustainable Campuses Conference,2011-01-11,"April 3-5, 2011",03/28/2011 03/21/2011,,,http://www.nacubo.org/Events_and_Programs/Smart_and_Sustainable_Campuses_Conference.html,"Themed ""Connecting the Classroom to the Campus to the Community,"" the National Association of College and University Business Officers' (NACUBO) 2011 Smart and Sustainable Campuses Conference will emphasis the importance of the relationship between the physical space of campus buildings and infrastructure, curriculum, culture, capital and community. Current scheduled presenters include Second Nature President Anthony Cortese, University of Maryland President Wallace Loh and AASHE Board member Dave Newport with the University of Colorado at Boulder, who will lead a plenary session on STARS.",Events
Midwest Sustainability Undergraduate Curriculum Conference,2011-03-8,"April 3-4, 2011",03/14/2011,,,http://serc.carleton.edu/acm_face/sustainability/workshop11/index.html,"Faculty from across the Midwest will gather at Luther College (IA) for the 2011 ""Integrating Sustainability into the Undergraduate Curriculum"" conference. Featuring sessions on place-based learning, assessment and student learning outcomes, sustainability within general education, using campus operations as a teaching tool, and sustainability related research, this conference is the concluding event of the year-long collaborative Faculty Career Enhancement Project funded by the Associated Colleges of the Midwest. The conference will also include information on using STARS to evaluate and enhance sustainability within curriculum and information on the academic component of the American College & University Presidents' Climate Commitment.",Events
Brownfields 2011 Conference,2011-03-23,"April 3-5, 2011",03/28/2011,,,http://www.brownfields2011.org/en/home,"""Partnerships 101: Working with Universities"" is one of the sessions that will take place at this national conference, co-sponsored by the U.S. Environmental Protection Agency and the International City/County Management Association (IMCA). Focused on environmental revitalization and economic redevelopment, this conference will feature more than 100 educational sessions, mobile workshops and volunteer activities to see Philadelphia's redevelopment at ground level. Online registration is closed, but free on-site registration is available.",Events
ACUPCC Webinar: GHG Reduction Strategies,2011-02-9,"April 3, 2011; 1:00 - 5:30 p.m. Eastern",02/14/2011,,,http://www.nacubo.org/Events_and_Programs/GHG_Reduction_Strategies_How_to_Analyze_the_Financial_and_Carbon_Impacts_of_Projects.html,"The American College and University Presidents' Climate Commitment (ACUPCC) will host this hands-on workshop that will teach participants how to set reduction targets, prioritize and compare carbon reduction projects, and incorporate this information into the Climate Action Plan. A pre-conference workshop will be presented by Second Nature, supporting the ACUPCC and Clean Air-Cool Planet (CA-CP) in advance of the National Association of College and University Business Officers' (NACUBO) Smart & Sustainable Campuses Conference.",Events
ACUPCC Workshop: GHG Reduction Strategies,2011-02-23,"April 3, 2011; 1:00 - 5:30 p.m. Eastern",02/28/2011,,,http://www.nacubo.org/Events_and_Programs/GHG_Reduction_Strategies_How_to_Analyze_the_Financial_and_Carbon_Impacts_of_Projects.html,"""GHG Reduction Strategies: How to Analyze the Financial and Carbon Impacts of Projects"" will focus on how to set reduction targets, go in-depth on how to prioritize and compare carbon reduction projects and incorporate this information into a Climate Action Plan. Participants will learn how to use the Clean Air-Cool Planet Campus Carbon Calculator™ to evaluate financial impacts and estimated emissions reductions for potential projects. Registration is $129 prior to March 6, 2011. This pre-conference workshop is presented by Second Nature, supporting the American College & University Presidents' Climate Commitment (ACUPCC) and Clean Air-Cool Planet (CA-CP) in advance of the NACUBO Smart and Sustainable Campuses Conference.",Events
